date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2018-09-14,US.AAPL,1.0,1.0,1.0,0.08208000465847531,0.007328895637812754,-0.019793308817513844,0.021273805270208584
2018-09-17,US.AAPL,1.0,1.0,1.0,0.050164802644713236,0.007047457316490242,-0.045892450510497174,0.02316379920823351
2018-09-18,US.AAPL,1.0,1.0,1.0,0.04903549221222803,0.0012577895895273734,-0.04431599229626393,0.02382272465571869
2018-09-19,US.AAPL,1.0,1.0,1.0,0.04677370599836217,-0.001978293718295495,-0.04374671570448452,0.023887046233659323
2018-09-20,US.AAPL,1.0,1.0,1.0,0.05142408500705531,-0.008894241692531403,-0.03647749168367742,0.02307380162505892
2018-09-21,US.AAPL,1.0,1.0,1.0,0.037392512732892236,-0.015168152161473363,-0.046855841655834785,0.023400519815074405
2018-09-24,US.AAPL,1.0,1.0,1.0,0.049296940573663184,-0.013365641556850882,-0.033149413198453326,0.02374169378727661
2018-09-25,US.AAPL,1.0,1.0,1.0,0.05275364389000892,-0.010682298930856544,-0.02701874234266821,0.02312596040638096
2018-09-26,US.AAPL,1.0,1.0,1.0,0.041442202446761556,-0.009071318392871475,-0.03476966194541242,0.02264410800148249
2018-09-27,US.AAPL,1.0,1.0,1.0,0.05932045962159482,-0.004952211601688976,-0.014932562613709344,0.0226199472900601
2018-09-28,US.AAPL,1.0,1.0,1.0,0.05959467958283993,0.002066536725724454,-0.011473112622990111,0.021414332543141283
2018-10-04,US.AAPL,1.0,1.0,1.0,0.05544960441840363,0.024494495370636644,-0.017580902304059842,0.018810348823275806
2018-10-05,US.AAPL,1.0,1.0,1.0,0.03537233746969459,0.02293905211713864,-0.033524367639907404,0.019521919962025215
2018-10-08,US.AAPL,1.0,1.0,1.0,0.02979094050421116,0.01865755016011766,-0.03576507088260683,0.019525788594754862
2018-10-09,US.AAPL,1.0,1.0,1.0,0.04045418121163924,0.015612465286909136,-0.022407032354034073,0.01948057099931035
2018-10-10,US.AAPL,1.0,1.0,1.0,-0.010173249633990022,0.0029372342388009564,-0.06769509199075352,0.022708118744351847
2018-10-11,US.AAPL,1.0,1.0,1.0,-0.02013549935524117,-0.006875728609211279,-0.07592536734122868,0.0239462412152254
2018-10-12,US.AAPL,1.0,1.0,1.0,0.013434189591714052,-0.008212147134954894,-0.04291808504818406,0.02434244293420619
2018-10-15,US.AAPL,1.0,1.0,1.0,-0.009151871908227971,-0.01417004048480486,-0.06338604730588226,0.025439626163920495
2018-10-16,US.AAPL,1.0,1.0,1.0,0.011410119012378539,-0.018993923024010408,-0.04274572326589643,0.025610462687536105
2018-10-17,US.AAPL,1.0,1.0,1.0,0.005683761666111176,-0.015346534653010755,-0.04688240616848005,0.024843250470128964
2018-10-18,US.AAPL,1.0,1.0,1.0,-0.018669893880785993,-0.013332098877614449,-0.06916016717667828,0.027544109672204668
2018-10-19,US.AAPL,1.0,1.0,1.0,-0.004733314275152223,-0.01606173909036526,-0.054983410173119474,0.02763899112172028
2018-10-22,US.AAPL,1.0,1.0,1.0,0.00015683402949151493,-0.012950373892875669,-0.04920929028408316,0.02781104528699284
2018-10-23,US.AAPL,1.0,1.0,1.0,0.008318069504366976,-0.01242984779594037,-0.04024647734976561,0.028949560967168945
